ch,sex
1000,Male
1100,Male
1000,Male
1010,Male
1110,Female
1110,Male
1110,Female
1100,Female
1100,Female
1010,Male
1111,Male
1101,Male
1110,Female
1000,Male
1100,Female
1110,Male
1000,Male
1000,Female
1100,Female
1000,Female
1111,Female
1001,Male
1110,Male
1010,Female
1010,Male
1100,Male
1000,Female
1110,Female
1111,Male
1101,Female
1100,Male
1000,Male
0110,Male
0101,Male
0110,Male
0110,Male
0100,Male
0110,Male
0110,Male
0111,Male
0110,Male
0111,Female
0100,Male
0111,Female
0101,Male
0110,Male
0100,Male
0111,Male
0100,Male
0100,Male
0101,Male
0110,Male
0100,Female
0110,Male
0110,Male
0110,Male
0100,Male
0110,Male
0100,Male
0111,Male
0110,Male
0110,Male
0100,Male
0110,Male
0111,Male
0111,Male
0100,Male
0101,Male
0111,Male
0101,Male
0100,Male
0111,Female
0010,Male
0011,Female
0010,Female
0010,Female
0011,Male
0010,Male
0010,Male
0010,Female
0010,Male
0010,Male
0011,Male
0010,Male
0010,Male
0010,Male
0011,Male
0010,Male
0011,Male
0010,Male
0010,Male
0010,Male
0010,Male
0010,Male
0011,Male
0011,Male
0010,Male
0011,Male
0010,Male
0011,Female
0011,Female
0010,Male
0010,Male
0011,Male
0011,Male
0010,Male
0010,Male
0001,Male
0001,Female
0011,Male
0001,Male
0001,Male
0001,Male
0001,Male
0001,Male
0001,Male
0001,Male
0001,Male
0001,Male
0001,Male
0001,Male
0001,Male
0001,Male
0001,Male
0001,Male
0001,Male
0001,Male
0001,Male























